variable,type,definition,role_in_analysis,notes
match_id,identifier,Unique match identifier used to group events and prevent train-test leakage across the same match.,"Grouping key for model splitting, OOF prediction, and match-level summaries.","If match_id is unavailable, a composite match key should be constructed from teams, date, season, and competition."
possession,identifier,Identifier of the possession sequence to which an event belongs.,Used to keep continuation-value windows within the same possession sequence.,Sliding windows for receiver continuation value should not cross possession or match boundaries.
team,categorical,"Team in possession or team performing the pass, depending on the source table convention.",Used for descriptive and case-study summaries; optional in xPass modeling depending on generalisability assumptions.,Including team identifiers in xPass may improve prediction but can reduce interpretability as a pure pass-difficulty model.
player,categorical,Player who performed the pass.,Used to estimate passer marginal contribution from out-of-fold residuals.,Player-level estimates should be shrunk toward zero to reduce instability for low-volume players.
minute,numeric,Match minute of the passing event.,Used as a temporal feature and for event ordering.,Should be numeric and combined with second for chronological sorting.
second,numeric,Second within the match minute of the passing event.,Used as a temporal feature and for event ordering.,Should be numeric and combined with minute for chronological sorting.
location,coordinate,Start location of the pass in StatsBomb coordinate format.,Parsed into start x and y coordinates for xPass features and spatial value calculation.,"Coordinates should be checked and, if necessary, transformed so that attacking direction is consistently left to right."
pass_end_location,coordinate,End location of the pass in StatsBomb coordinate format.,Parsed into end x and y coordinates for pass geometry and spatial value calculation.,Missing end locations should be excluded or handled consistently before modeling.
sx,numeric,Raw pass start x-coordinate.,Intermediate coordinate used to compute normalized start location and pass geometry.,StatsBomb pitch length is commonly treated as 120 units.
sy,numeric,Raw pass start y-coordinate.,Intermediate coordinate used to compute normalized start location and pass geometry.,StatsBomb pitch width is commonly treated as 80 units.
ex,numeric,Raw pass end x-coordinate.,Intermediate coordinate used to compute normalized end location and pass geometry.,Used with sx to calculate pass length and progression.
ey,numeric,Raw pass end y-coordinate.,Intermediate coordinate used to compute normalized end location and pass geometry.,Used with sy to calculate pass angle and lateral movement.
xs,numeric,Normalized pass start x-coordinate on a 0 to 1 scale.,Input to the spatial value function and continuation-value model.,Calculated as sx divided by pitch length.
ys,numeric,Normalized pass start y-coordinate on a 0 to 1 scale.,Input to the spatial value function and continuation-value model.,Calculated as sy divided by pitch width.
xe,numeric,Normalized pass end x-coordinate on a 0 to 1 scale.,Input to the spatial value function and continuation-value model.,Calculated as ex divided by pitch length.
ye,numeric,Normalized pass end y-coordinate on a 0 to 1 scale.,Input to the spatial value function and continuation-value model.,Calculated as ey divided by pitch width.
success,binary,"Pass outcome indicator, where 1 denotes a completed pass and 0 denotes an incomplete pass.",Target variable for xPass training and residual calculation.,"For StatsBomb event data, pass_outcome is typically missing for completed passes."
